ip,first_seen,last_seen,count,severity,signature,protocol,country
14.205.104.200,2025-07-27T17:01:05+00:00,2025-07-27T17:01:05+00:00,1,low,"ET EXPLOIT Netgear DGN Remote Command Execution",TCP,CN
40.113.83.83,2025-07-27T00:22:39+00:00,2025-07-27T00:22:39+00:00,1,low,"ET WEB_SPECIFIC_APPS Wordpress LiteSpeed Cache Plugin debug.log Access Attempt (CVE-2024-44000)",TCP,IE
43.153.193.178,2025-08-05T03:36:06+00:00,2025-08-05T03:36:06+00:00,1,low,"ET WEB_SERVER PHP tags in HTTP POST",TCP,SG
44.227.76.166,2025-08-01T14:58:16+00:00,2025-08-01T14:58:16+00:00,1,low,"ET Threatview.io High Confidence Cobalt Strike C2 IP group 2",TCP,US
80.75.212.83,2025-08-11T00:43:10+00:00,2025-08-11T00:43:10+00:00,1,low,"ET EXPLOIT Apache Obfuscated log4j RCE Attempt (tcp ldap) (CVE-2021-44228)",TCP,DE
87.120.92.24,2025-07-27T08:21:26+00:00,2025-08-06T07:27:17+00:00,4,low,"ET WEB_SERVER PHP tags in HTTP POST",TCP,DE
115.190.108.184,2025-07-22T14:38:56.159000+00:00,2025-07-22T14:38:56.159000+00:00,1,low,"ET WEB_SERVER PHP tags in HTTP POST",TCP,CN
117.206.68.206,2025-07-28T12:28:20+00:00,2025-07-28T12:28:20+00:00,1,low,"ET EXPLOIT HackingTrio UA (Hello, World)",TCP,IN
119.18.55.217,2025-08-05T11:56:34+00:00,2025-08-05T11:56:34+00:00,1,low,"ET WEB_SERVER PHP.//Input in HTTP POST",TCP,IN
146.185.182.65,2025-08-02T04:21:37+00:00,2025-08-02T04:21:37+00:00,1,low,"ET WEB_SERVER PHP tags in HTTP POST",TCP,NL
172.192.54.132,2025-07-20T16:01:13.300000+00:00,2025-07-20T16:01:13.300000+00:00,1,low,"GPL WEB_SERVER .htaccess access",TCP,JP
185.177.72.16,2025-08-06T06:46:53+00:00,2025-08-06T06:46:53+00:00,1,low,"ET WEB_SERVER .bash_history Detected in URI",TCP,FR
185.177.72.201,2025-08-09T10:13:39+00:00,2025-08-09T10:13:39+00:00,1,low,"GPL WEB_SERVER .htaccess access",TCP,FR
